Methods	Samples	Features	Effect size	Date types	Evaluation
ZicoSeq	100	200	10	abundant	FDR
limma_voom	100	200	10	abundant	FDR
DESeq2	100	200	10	abundant	FDR
Corncob	100	200	10	abundant	FDR
MaAsLin2	100	200	10	abundant	FDR
AAnew	200	200	10	abundant	FDR
wilcox	200	200	10	abundant	FDR
LinDA	200	200	10	abundant	FDR
MetagenomeSeq	200	200	10	abundant	FDR
LEfSe	200	200	10	abundant	FDR
edgeR	200	200	10	abundant	FDR
ALDEx2_wi	200	200	10	abundant	FDR
fastANCOM	200	200	10	abundant	FDR
DACOMP	200	200	10	abundant	FDR
ZicoSeq	200	200	10	abundant	FDR
limma_voom	200	200	10	abundant	FDR
DESeq2	200	200	10	abundant	FDR
Corncob	200	200	10	abundant	FDR
MaAsLin2	200	200	10	abundant	FDR
AAnew	300	200	10	abundant	FDR
wilcox	300	200	10	abundant	FDR
LinDA	300	200	10	abundant	FDR
MetagenomeSeq	300	200	10	abundant	FDR
LEfSe	300	200	10	abundant	FDR
edgeR	300	200	10	abundant	FDR
ALDEx2_wi	300	200	10	abundant	FDR
fastANCOM	300	200	10	abundant	FDR
DACOMP	300	200	10	abundant	FDR
ZicoSeq	300	200	10	abundant	FDR
limma_voom	300	200	10	abundant	FDR
DESeq2	300	200	10	abundant	FDR
Corncob	300	200	10	abundant	FDR
MaAsLin2	300	200	10	abundant	FDR
AAnew	500	200	10	abundant	FDR
wilcox	500	200	10	abundant	FDR
LinDA	500	200	10	abundant	FDR
MetagenomeSeq	500	200	10	abundant	FDR
LEfSe	500	200	10	abundant	FDR
edgeR	500	200	10	abundant	FDR
ALDEx2_wi	500	200	10	abundant	FDR
fastANCOM	500	200	10	abundant	FDR
DACOMP	500	200	10	abundant	FDR
ZicoSeq	500	200	10	abundant	FDR
limma_voom	500	200	10	abundant	FDR
DESeq2	500	200	10	abundant	FDR
Corncob	500	200	10	abundant	FDR
MaAsLin2	500	200	10	abundant	FDR
AAnew	20	200	1	rare	FDR
wilcox	20	200	1	rare	FDR
LinDA	20	200	1	rare	FDR
MetagenomeSeq	20	200	1	rare	FDR
LEfSe	20	200	1	rare	FDR
edgeR	20	200	1	rare	FDR
ALDEx2_wi	20	200	1	rare	FDR
fastANCOM	20	200	1	rare	FDR
DACOMP	20	200	1	rare	FDR
ZicoSeq	20	200	1	rare	FDR
limma_voom	20	200	1	rare	FDR
DESeq2	20	200	1	rare	FDR
Corncob	20	200	1	rare	FDR
MaAsLin2	20	200	1	rare	FDR
AAnew	50	200	1	rare	FDR
wilcox	50	200	1	rare	FDR
LinDA	50	200	1	rare	FDR
MetagenomeSeq	50	200	1	rare	FDR
LEfSe	50	200	1	rare	FDR
edgeR	50	200	1	rare	FDR
ALDEx2_wi	50	200	1	rare	FDR
fastANCOM	50	200	1	rare	FDR
DACOMP	50	200	1	rare	FDR
ZicoSeq	50	200	1	rare	FDR
limma_voom	50	200	1	rare	FDR
DESeq2	50	200	1	rare	FDR
Corncob	50	200	1	rare	FDR
MaAsLin2	50	200	1	rare	FDR
AAnew	100	200	1	rare	FDR
wilcox	100	200	1	rare	FDR
LinDA	100	200	1	rare	FDR
MetagenomeSeq	100	200	1	rare	FDR
LEfSe	100	200	1	rare	FDR
edgeR	100	200	1	rare	FDR
ALDEx2_wi	100	200	1	rare	FDR
fastANCOM	100	200	1	rare	FDR
DACOMP	100	200	1	rare	FDR
ZicoSeq	100	200	1	rare	FDR
limma_voom	100	200	1	rare	FDR
DESeq2	100	200	1	rare	FDR
Corncob	100	200	1	rare	FDR
MaAsLin2	100	200	1	rare	FDR
AAnew	200	200	1	rare	FDR
wilcox	200	200	1	rare	FDR
LinDA	200	200	1	rare	FDR
MetagenomeSeq	200	200	1	rare	FDR
LEfSe	200	200	1	rare	FDR
edgeR	200	200	1	rare	FDR
ALDEx2_wi	200	200	1	rare	FDR
fastANCOM	200	200	1	rare	FDR
DACOMP	200	200	1	rare	FDR
ZicoSeq	200	200	1	rare	FDR
limma_voom	200	200	1	rare	FDR
DESeq2	200	200	1	rare	FDR
Corncob	200	200	1	rare	FDR
MaAsLin2	200	200	1	rare	FDR
AAnew	300	200	1	rare	FDR
wilcox	300	200	1	rare	FDR
LinDA	300	200	1	rare	FDR
MetagenomeSeq	300	200	1	rare	FDR
LEfSe	300	200	1	rare	FDR
edgeR	300	200	1	rare	FDR
ALDEx2_wi	300	200	1	rare	FDR
fastANCOM	300	200	1	rare	FDR
DACOMP	300	200	1	rare	FDR
ZicoSeq	300	200	1	rare	FDR
limma_voom	300	200	1	rare	FDR
DESeq2	300	200	1	rare	FDR
Corncob	300	200	1	rare	FDR
MaAsLin2	300	200	1	rare	FDR
AAnew	500	200	1	rare	FDR
wilcox	500	200	1	rare	FDR
LinDA	500	200	1	rare	FDR
MetagenomeSeq	500	200	1	rare	FDR
LEfSe	500	200	1	rare	FDR
edgeR	500	200	1	rare	FDR
ALDEx2_wi	500	200	1	rare	FDR
fastANCOM	500	200	1	rare	FDR
DACOMP	500	200	1	rare	FDR
ZicoSeq	500	200	1	rare	FDR
limma_voom	500	200	1	rare	FDR
DESeq2	500	200	1	rare	FDR
Corncob	500	200	1	rare	FDR
MaAsLin2	500	200	1	rare	FDR
AAnew	20	200	2	rare	FDR
wilcox	20	200	2	rare	FDR
LinDA	20	200	2	rare	FDR
MetagenomeSeq	20	200	2	rare	FDR
LEfSe	20	200	2	rare	FDR
edgeR	20	200	2	rare	FDR
ALDEx2_wi	20	200	2	rare	FDR
fastANCOM	20	200	2	rare	FDR
DACOMP	20	200	2	rare	FDR
ZicoSeq	20	200	2	rare	FDR
limma_voom	20	200	2	rare	FDR
DESeq2	20	200	2	rare	FDR
Corncob	20	200	2	rare	FDR
MaAsLin2	20	200	2	rare	FDR
AAnew	50	200	2	rare	FDR
wilcox	50	200	2	rare	FDR
LinDA	50	200	2	rare	FDR
MetagenomeSeq	50	200	2	rare	FDR
LEfSe	50	200	2	rare	FDR
edgeR	50	200	2	rare	FDR
ALDEx2_wi	50	200	2	rare	FDR
fastANCOM	50	200	2	rare	FDR
DACOMP	50	200	2	rare	FDR
ZicoSeq	50	200	2	rare	FDR
limma_voom	50	200	2	rare	FDR
DESeq2	50	200	2	rare	FDR
Corncob	50	200	2	rare	FDR
MaAsLin2	50	200	2	rare	FDR
AAnew	100	200	2	rare	FDR
wilcox	100	200	2	rare	FDR
LinDA	100	200	2	rare	FDR
MetagenomeSeq	100	200	2	rare	FDR
LEfSe	100	200	2	rare	FDR
edgeR	100	200	2	rare	FDR
ALDEx2_wi	100	200	2	rare	FDR
fastANCOM	100	200	2	rare	FDR
DACOMP	100	200	2	rare	FDR
ZicoSeq	100	200	2	rare	FDR
limma_voom	100	200	2	rare	FDR
DESeq2	100	200	2	rare	FDR
Corncob	100	200	2	rare	FDR
MaAsLin2	100	200	2	rare	FDR
AAnew	200	200	2	rare	FDR
wilcox	200	200	2	rare	FDR
LinDA	200	200	2	rare	FDR
MetagenomeSeq	200	200	2	rare	FDR
LEfSe	200	200	2	rare	FDR
edgeR	200	200	2	rare	FDR
ALDEx2_wi	200	200	2	rare	FDR
fastANCOM	200	200	2	rare	FDR
DACOMP	200	200	2	rare	FDR
ZicoSeq	200	200	2	rare	FDR
limma_voom	200	200	2	rare	FDR
DESeq2	200	200	2	rare	FDR
Corncob	200	200	2	rare	FDR
MaAsLin2	200	200	2	rare	FDR
AAnew	300	200	2	rare	FDR
wilcox	300	200	2	rare	FDR
LinDA	300	200	2	rare	FDR
MetagenomeSeq	300	200	2	rare	FDR
LEfSe	300	200	2	rare	FDR
edgeR	300	200	2	rare	FDR
ALDEx2_wi	300	200	2	rare	FDR
fastANCOM	300	200	2	rare	FDR
DACOMP	300	200	2	rare	FDR
ZicoSeq	300	200	2	rare	FDR
limma_voom	300	200	2	rare	FDR
DESeq2	300	200	2	rare	FDR
Corncob	300	200	2	rare	FDR
MaAsLin2	300	200	2	rare	FDR
AAnew	500	200	2	rare	FDR
wilcox	500	200	2	rare	FDR
LinDA	500	200	2	rare	FDR
MetagenomeSeq	500	200	2	rare	FDR
LEfSe	500	200	2	rare	FDR
edgeR	500	200	2	rare	FDR
ALDEx2_wi	500	200	2	rare	FDR
fastANCOM	500	200	2	rare	FDR
DACOMP	500	200	2	rare	FDR
ZicoSeq	500	200	2	rare	FDR
limma_voom	500	200	2	rare	FDR
DESeq2	500	200	2	rare	FDR
Corncob	500	200	2	rare	FDR
MaAsLin2	500	200	2	rare	FDR
AAnew	20	200	5	rare	FDR
wilcox	20	200	5	rare	FDR
LinDA	20	200	5	rare	FDR
MetagenomeSeq	20	200	5	rare	FDR
LEfSe	20	200	5	rare	FDR
edgeR	20	200	5	rare	FDR
ALDEx2_wi	20	200	5	rare	FDR
fastANCOM	20	200	5	rare	FDR
DACOMP	20	200	5	rare	FDR
ZicoSeq	20	200	5	rare	FDR
limma_voom	20	200	5	rare	FDR
DESeq2	20	200	5	rare	FDR
Corncob	20	200	5	rare	FDR
MaAsLin2	20	200	5	rare	FDR
AAnew	50	200	5	rare	FDR
wilcox	50	200	5	rare	FDR
LinDA	50	200	5	rare	FDR
MetagenomeSeq	50	200	5	rare	FDR
LEfSe	50	200	5	rare	FDR
edgeR	50	200	5	rare	FDR
ALDEx2_wi	50	200	5	rare	FDR
fastANCOM	50	200	5	rare	FDR
DACOMP	50	200	5	rare	FDR
ZicoSeq	50	200	5	rare	FDR
limma_voom	50	200	5	rare	FDR
DESeq2	50	200	5	rare	FDR
Corncob	50	200	5	rare	FDR
MaAsLin2	50	200	5	rare	FDR
AAnew	100	200	5	rare	FDR
wilcox	100	200	5	rare	FDR
LinDA	100	200	5	rare	FDR
MetagenomeSeq	100	200	5	rare	FDR
LEfSe	100	200	5	rare	FDR
edgeR	100	200	5	rare	FDR
ALDEx2_wi	100	200	5	rare	FDR
fastANCOM	100	200	5	rare	FDR
DACOMP	100	200	5	rare	FDR
ZicoSeq	100	200	5	rare	FDR
limma_voom	100	200	5	rare	FDR
DESeq2	100	200	5	rare	FDR
Corncob	100	200	5	rare	FDR
MaAsLin2	100	200	5	rare	FDR
AAnew	200	200	5	rare	FDR
wilcox	200	200	5	rare	FDR
LinDA	200	200	5	rare	FDR
MetagenomeSeq	200	200	5	rare	FDR
LEfSe	200	200	5	rare	FDR
edgeR	200	200	5	rare	FDR
ALDEx2_wi	200	200	5	rare	FDR
fastANCOM	200	200	5	rare	FDR
DACOMP	200	200	5	rare	FDR
ZicoSeq	200	200	5	rare	FDR
limma_voom	200	200	5	rare	FDR
DESeq2	200	200	5	rare	FDR
Corncob	200	200	5	rare	FDR
MaAsLin2	200	200	5	rare	FDR
AAnew	300	200	5	rare	FDR
wilcox	300	200	5	rare	FDR
LinDA	300	200	5	rare	FDR
MetagenomeSeq	300	200	5	rare	FDR
LEfSe	300	200	5	rare	FDR
edgeR	300	200	5	rare	FDR
ALDEx2_wi	300	200	5	rare	FDR
fastANCOM	300	200	5	rare	FDR
DACOMP	300	200	5	rare	FDR
ZicoSeq	300	200	5	rare	FDR
limma_voom	300	200	5	rare	FDR
DESeq2	300	200	5	rare	FDR
Corncob	300	200	5	rare	FDR
MaAsLin2	300	200	5	rare	FDR
AAnew	500	200	5	rare	FDR
wilcox	500	200	5	rare	FDR
LinDA	500	200	5	rare	FDR
MetagenomeSeq	500	200	5	rare	FDR
LEfSe	500	200	5	rare	FDR
edgeR	500	200	5	rare	FDR
ALDEx2_wi	500	200	5	rare	FDR
fastANCOM	500	200	5	rare	FDR
DACOMP	500	200	5	rare	FDR
ZicoSeq	500	200	5	rare	FDR
limma_voom	500	200	5	rare	FDR
DESeq2	500	200	5	rare	FDR
Corncob	500	200	5	rare	FDR
MaAsLin2	500	200	5	rare	FDR
AAnew	20	200	10	rare	FDR
wilcox	20	200	10	rare	FDR
LinDA	20	200	10	rare	FDR
MetagenomeSeq	20	200	10	rare	FDR
LEfSe	20	200	10	rare	FDR
edgeR	20	200	10	rare	FDR
ALDEx2_wi	20	200	10	rare	FDR
fastANCOM	20	200	10	rare	FDR
DACOMP	20	200	10	rare	FDR
ZicoSeq	20	200	10	rare	FDR
limma_voom	20	200	10	rare	FDR
DESeq2	20	200	10	rare	FDR
Corncob	20	200	10	rare	FDR
MaAsLin2	20	200	10	rare	FDR
AAnew	50	200	10	rare	FDR
wilcox	50	200	10	rare	FDR
LinDA	50	200	10	rare	FDR
MetagenomeSeq	50	200	10	rare	FDR
LEfSe	50	200	10	rare	FDR
edgeR	50	200	10	rare	FDR
ALDEx2_wi	50	200	10	rare	FDR
fastANCOM	50	200	10	rare	FDR
DACOMP	50	200	10	rare	FDR
ZicoSeq	50	200	10	rare	FDR
limma_voom	50	200	10	rare	FDR
DESeq2	50	200	10	rare	FDR
Corncob	50	200	10	rare	FDR
MaAsLin2	50	200	10	rare	FDR
AAnew	100	200	10	rare	FDR
wilcox	100	200	10	rare	FDR
LinDA	100	200	10	rare	FDR
MetagenomeSeq	100	200	10	rare	FDR
LEfSe	100	200	10	rare	FDR
edgeR	100	200	10	rare	FDR
ALDEx2_wi	100	200	10	rare	FDR
fastANCOM	100	200	10	rare	FDR
DACOMP	100	200	10	rare	FDR
ZicoSeq	100	200	10	rare	FDR
limma_voom	100	200	10	rare	FDR
DESeq2	100	200	10	rare	FDR
Corncob	100	200	10	rare	FDR
MaAsLin2	100	200	10	rare	FDR
AAnew	200	200	10	rare	FDR
wilcox	200	200	10	rare	FDR
LinDA	200	200	10	rare	FDR
MetagenomeSeq	200	200	10	rare	FDR
LEfSe	200	200	10	rare	FDR
edgeR	200	200	10	rare	FDR
ALDEx2_wi	200	200	10	rare	FDR
fastANCOM	200	200	10	rare	FDR
DACOMP	200	200	10	rare	FDR
ZicoSeq	200	200	10	rare	FDR
limma_voom	200	200	10	rare	FDR
DESeq2	200	200	10	rare	FDR
Corncob	200	200	10	rare	FDR
MaAsLin2	200	200	10	rare	FDR
AAnew	300	200	10	rare	FDR
wilcox	300	200	10	rare	FDR
LinDA	300	200	10	rare	FDR
MetagenomeSeq	300	200	10	rare	FDR
LEfSe	300	200	10	rare	FDR
edgeR	300	200	10	rare	FDR
ALDEx2_wi	300	200	10	rare	FDR
fastANCOM	300	200	10	rare	FDR
DACOMP	300	200	10	rare	FDR
ZicoSeq	300	200	10	rare	FDR
limma_voom	300	200	10	rare	FDR
DESeq2	300	200	10	rare	FDR
Corncob	300	200	10	rare	FDR
MaAsLin2	300	200	10	rare	FDR
AAnew	500	200	10	rare	FDR
wilcox	500	200	10	rare	FDR
LinDA	500	200	10	rare	FDR
MetagenomeSeq	500	200	10	rare	FDR
LEfSe	500	200	10	rare	FDR
edgeR	500	200	10	rare	FDR
ALDEx2_wi	500	200	10	rare	FDR
fastANCOM	500	200	10	rare	FDR
DACOMP	500	200	10	rare	FDR
ZicoSeq	500	200	10	rare	FDR
limma_voom	500	200	10	rare	FDR
DESeq2	500	200	10	rare	FDR
Corncob	500	200	10	rare	FDR
MaAsLin2	500	200	10	rare	FDR
AAnew	20	200	1	mix	FDR
wilcox	20	200	1	mix	FDR
LinDA	20	200	1	mix	FDR
MetagenomeSeq	20	200	1	mix	FDR
LEfSe	20	200	1	mix	FDR
edgeR	20	200	1	mix	FDR
ALDEx2_wi	20	200	1	mix	FDR
fastANCOM	20	200	1	mix	FDR
DACOMP	20	200	1	mix	FDR
ZicoSeq	20	200	1	mix	FDR
limma_voom	20	200	1	mix	FDR
DESeq2	20	200	1	mix	FDR
Corncob	20	200	1	mix	FDR
MaAsLin2	20	200	1	mix	FDR
AAnew	50	200	1	mix	FDR
wilcox	50	200	1	mix	FDR
LinDA	50	200	1	mix	FDR
MetagenomeSeq	50	200	1	mix	FDR
LEfSe	50	200	1	mix	FDR
edgeR	50	200	1	mix	FDR
ALDEx2_wi	50	200	1	mix	FDR
fastANCOM	50	200	1	mix	FDR
DACOMP	50	200	1	mix	FDR
ZicoSeq	50	200	1	mix	FDR
limma_voom	50	200	1	mix	FDR
DESeq2	50	200	1	mix	FDR
Corncob	50	200	1	mix	FDR
MaAsLin2	50	200	1	mix	FDR
AAnew	100	200	1	mix	FDR
wilcox	100	200	1	mix	FDR
LinDA	100	200	1	mix	FDR
MetagenomeSeq	100	200	1	mix	FDR
LEfSe	100	200	1	mix	FDR
edgeR	100	200	1	mix	FDR
ALDEx2_wi	100	200	1	mix	FDR
fastANCOM	100	200	1	mix	FDR
DACOMP	100	200	1	mix	FDR
ZicoSeq	100	200	1	mix	FDR
limma_voom	100	200	1	mix	FDR
DESeq2	100	200	1	mix	FDR
Corncob	100	200	1	mix	FDR
MaAsLin2	100	200	1	mix	FDR
AAnew	200	200	1	mix	FDR
wilcox	200	200	1	mix	FDR
LinDA	200	200	1	mix	FDR
MetagenomeSeq	200	200	1	mix	FDR
LEfSe	200	200	1	mix	FDR
edgeR	200	200	1	mix	FDR
ALDEx2_wi	200	200	1	mix	FDR
fastANCOM	200	200	1	mix	FDR
DACOMP	200	200	1	mix	FDR
ZicoSeq	200	200	1	mix	FDR
limma_voom	200	200	1	mix	FDR
DESeq2	200	200	1	mix	FDR
Corncob	200	200	1	mix	FDR
MaAsLin2	200	200	1	mix	FDR
AAnew	300	200	1	mix	FDR
wilcox	300	200	1	mix	FDR
LinDA	300	200	1	mix	FDR
MetagenomeSeq	300	200	1	mix	FDR
LEfSe	300	200	1	mix	FDR
edgeR	300	200	1	mix	FDR
ALDEx2_wi	300	200	1	mix	FDR
fastANCOM	300	200	1	mix	FDR
DACOMP	300	200	1	mix	FDR
ZicoSeq	300	200	1	mix	FDR
limma_voom	300	200	1	mix	FDR
DESeq2	300	200	1	mix	FDR
Corncob	300	200	1	mix	FDR
MaAsLin2	300	200	1	mix	FDR
AAnew	500	200	1	mix	FDR
wilcox	500	200	1	mix	FDR
LinDA	500	200	1	mix	FDR
MetagenomeSeq	500	200	1	mix	FDR
LEfSe	500	200	1	mix	FDR
edgeR	500	200	1	mix	FDR
ALDEx2_wi	500	200	1	mix	FDR
fastANCOM	500	200	1	mix	FDR
DACOMP	500	200	1	mix	FDR
ZicoSeq	500	200	1	mix	FDR
limma_voom	500	200	1	mix	FDR
DESeq2	500	200	1	mix	FDR
Corncob	500	200	1	mix	FDR
MaAsLin2	500	200	1	mix	FDR
AAnew	20	200	2	mix	FDR
wilcox	20	200	2	mix	FDR
LinDA	20	200	2	mix	FDR
MetagenomeSeq	20	200	2	mix	FDR
LEfSe	20	200	2	mix	FDR
edgeR	20	200	2	mix	FDR
ALDEx2_wi	20	200	2	mix	FDR
fastANCOM	20	200	2	mix	FDR
DACOMP	20	200	2	mix	FDR
ZicoSeq	20	200	2	mix	FDR
limma_voom	20	200	2	mix	FDR
DESeq2	20	200	2	mix	FDR
Corncob	20	200	2	mix	FDR
MaAsLin2	20	200	2	mix	FDR
AAnew	50	200	2	mix	FDR
wilcox	50	200	2	mix	FDR
LinDA	50	200	2	mix	FDR
MetagenomeSeq	50	200	2	mix	FDR
LEfSe	50	200	2	mix	FDR
edgeR	50	200	2	mix	FDR
ALDEx2_wi	50	200	2	mix	FDR
fastANCOM	50	200	2	mix	FDR
DACOMP	50	200	2	mix	FDR
ZicoSeq	50	200	2	mix	FDR
limma_voom	50	200	2	mix	FDR
DESeq2	50	200	2	mix	FDR
Corncob	50	200	2	mix	FDR
MaAsLin2	50	200	2	mix	FDR
AAnew	100	200	2	mix	FDR
wilcox	100	200	2	mix	FDR
LinDA	100	200	2	mix	FDR
MetagenomeSeq	100	200	2	mix	FDR
LEfSe	100	200	2	mix	FDR
edgeR	100	200	2	mix	FDR
ALDEx2_wi	100	200	2	mix	FDR
fastANCOM	100	200	2	mix	FDR
DACOMP	100	200	2	mix	FDR
ZicoSeq	100	200	2	mix	FDR
limma_voom	100	200	2	mix	FDR
DESeq2	100	200	2	mix	FDR
Corncob	100	200	2	mix	FDR
MaAsLin2	100	200	2	mix	FDR
AAnew	200	200	2	mix	FDR
wilcox	200	200	2	mix	FDR
LinDA	200	200	2	mix	FDR
MetagenomeSeq	200	200	2	mix	FDR
LEfSe	200	200	2	mix	FDR
edgeR	200	200	2	mix	FDR
ALDEx2_wi	200	200	2	mix	FDR
fastANCOM	200	200	2	mix	FDR
DACOMP	200	200	2	mix	FDR
ZicoSeq	200	200	2	mix	FDR
limma_voom	200	200	2	mix	FDR
DESeq2	200	200	2	mix	FDR
Corncob	200	200	2	mix	FDR
MaAsLin2	200	200	2	mix	FDR
AAnew	300	200	2	mix	FDR
wilcox	300	200	2	mix	FDR
LinDA	300	200	2	mix	FDR
MetagenomeSeq	300	200	2	mix	FDR
LEfSe	300	200	2	mix	FDR
edgeR	300	200	2	mix	FDR
ALDEx2_wi	300	200	2	mix	FDR
fastANCOM	300	200	2	mix	FDR
DACOMP	300	200	2	mix	FDR
ZicoSeq	300	200	2	mix	FDR
limma_voom	300	200	2	mix	FDR
DESeq2	300	200	2	mix	FDR
Corncob	300	200	2	mix	FDR
MaAsLin2	300	200	2	mix	FDR
AAnew	500	200	2	mix	FDR
wilcox	500	200	2	mix	FDR
LinDA	500	200	2	mix	FDR
MetagenomeSeq	500	200	2	mix	FDR
LEfSe	500	200	2	mix	FDR
edgeR	500	200	2	mix	FDR
ALDEx2_wi	500	200	2	mix	FDR
fastANCOM	500	200	2	mix	FDR
DACOMP	500	200	2	mix	FDR
ZicoSeq	500	200	2	mix	FDR
limma_voom	500	200	2	mix	FDR
DESeq2	500	200	2	mix	FDR
Corncob	500	200	2	mix	FDR
MaAsLin2	500	200	2	mix	FDR
AAnew	20	200	5	mix	FDR
wilcox	20	200	5	mix	FDR
LinDA	20	200	5	mix	FDR
MetagenomeSeq	20	200	5	mix	FDR
LEfSe	20	200	5	mix	FDR
edgeR	20	200	5	mix	FDR
ALDEx2_wi	20	200	5	mix	FDR
fastANCOM	20	200	5	mix	FDR
DACOMP	20	200	5	mix	FDR
ZicoSeq	20	200	5	mix	FDR
limma_voom	20	200	5	mix	FDR
DESeq2	20	200	5	mix	FDR
Corncob	20	200	5	mix	FDR
MaAsLin2	20	200	5	mix	FDR
AAnew	50	200	5	mix	FDR
wilcox	50	200	5	mix	FDR
LinDA	50	200	5	mix	FDR
MetagenomeSeq	50	200	5	mix	FDR
LEfSe	50	200	5	mix	FDR
edgeR	50	200	5	mix	FDR
ALDEx2_wi	50	200	5	mix	FDR
fastANCOM	50	200	5	mix	FDR
DACOMP	50	200	5	mix	FDR
ZicoSeq	50	200	5	mix	FDR
limma_voom	50	200	5	mix	FDR
DESeq2	50	200	5	mix	FDR
Corncob	50	200	5	mix	FDR
MaAsLin2	50	200	5	mix	FDR
AAnew	100	200	5	mix	FDR
wilcox	100	200	5	mix	FDR
LinDA	100	200	5	mix	FDR
MetagenomeSeq	100	200	5	mix	FDR
LEfSe	100	200	5	mix	FDR
edgeR	100	200	5	mix	FDR
ALDEx2_wi	100	200	5	mix	FDR
fastANCOM	100	200	5	mix	FDR
DACOMP	100	200	5	mix	FDR
ZicoSeq	100	200	5	mix	FDR
limma_voom	100	200	5	mix	FDR
DESeq2	100	200	5	mix	FDR
Corncob	100	200	5	mix	FDR
MaAsLin2	100	200	5	mix	FDR
AAnew	200	200	5	mix	FDR
wilcox	200	200	5	mix	FDR
LinDA	200	200	5	mix	FDR
MetagenomeSeq	200	200	5	mix	FDR
LEfSe	200	200	5	mix	FDR
edgeR	200	200	5	mix	FDR
ALDEx2_wi	200	200	5	mix	FDR
fastANCOM	200	200	5	mix	FDR
DACOMP	200	200	5	mix	FDR
ZicoSeq	200	200	5	mix	FDR
limma_voom	200	200	5	mix	FDR
DESeq2	200	200	5	mix	FDR
Corncob	200	200	5	mix	FDR
MaAsLin2	200	200	5	mix	FDR
AAnew	300	200	5	mix	FDR
wilcox	300	200	5	mix	FDR
LinDA	300	200	5	mix	FDR
MetagenomeSeq	300	200	5	mix	FDR
LEfSe	300	200	5	mix	FDR
edgeR	300	200	5	mix	FDR
ALDEx2_wi	300	200	5	mix	FDR
fastANCOM	300	200	5	mix	FDR
DACOMP	300	200	5	mix	FDR
ZicoSeq	300	200	5	mix	FDR
limma_voom	300	200	5	mix	FDR
DESeq2	300	200	5	mix	FDR
Corncob	300	200	5	mix	FDR
MaAsLin2	300	200	5	mix	FDR
AAnew	500	200	5	mix	FDR
wilcox	500	200	5	mix	FDR
LinDA	500	200	5	mix	FDR
MetagenomeSeq	500	200	5	mix	FDR
LEfSe	500	200	5	mix	FDR
edgeR	500	200	5	mix	FDR
ALDEx2_wi	500	200	5	mix	FDR
fastANCOM	500	200	5	mix	FDR
DACOMP	500	200	5	mix	FDR
ZicoSeq	500	200	5	mix	FDR
limma_voom	500	200	5	mix	FDR
DESeq2	500	200	5	mix	FDR
Corncob	500	200	5	mix	FDR
MaAsLin2	500	200	5	mix	FDR
AAnew	20	200	10	mix	FDR
wilcox	20	200	10	mix	FDR
LinDA	20	200	10	mix	FDR
MetagenomeSeq	20	200	10	mix	FDR
LEfSe	20	200	10	mix	FDR
edgeR	20	200	10	mix	FDR
ALDEx2_wi	20	200	10	mix	FDR
fastANCOM	20	200	10	mix	FDR
DACOMP	20	200	10	mix	FDR
ZicoSeq	20	200	10	mix	FDR
limma_voom	20	200	10	mix	FDR
DESeq2	20	200	10	mix	FDR
Corncob	20	200	10	mix	FDR
MaAsLin2	20	200	10	mix	FDR
AAnew	50	200	10	mix	FDR
wilcox	50	200	10	mix	FDR
LinDA	50	200	10	mix	FDR
MetagenomeSeq	50	200	10	mix	FDR
LEfSe	50	200	10	mix	FDR
edgeR	50	200	10	mix	FDR
ALDEx2_wi	50	200	10	mix	FDR
fastANCOM	50	200	10	mix	FDR
DACOMP	50	200	10	mix	FDR
ZicoSeq	50	200	10	mix	FDR
limma_voom	50	200	10	mix	FDR
DESeq2	50	200	10	mix	FDR
Corncob	50	200	10	mix	FDR
MaAsLin2	50	200	10	mix	FDR
AAnew	100	200	10	mix	FDR
wilcox	100	200	10	mix	FDR
LinDA	100	200	10	mix	FDR
MetagenomeSeq	100	200	10	mix	FDR
LEfSe	100	200	10	mix	FDR
edgeR	100	200	10	mix	FDR
ALDEx2_wi	100	200	10	mix	FDR
fastANCOM	100	200	10	mix	FDR
DACOMP	100	200	10	mix	FDR
ZicoSeq	100	200	10	mix	FDR
limma_voom	100	200	10	mix	FDR
DESeq2	100	200	10	mix	FDR
Corncob	100	200	10	mix	FDR
MaAsLin2	100	200	10	mix	FDR
AAnew	200	200	10	mix	FDR
wilcox	200	200	10	mix	FDR
LinDA	200	200	10	mix	FDR
MetagenomeSeq	200	200	10	mix	FDR
LEfSe	200	200	10	mix	FDR
edgeR	200	200	10	mix	FDR
ALDEx2_wi	200	200	10	mix	FDR
fastANCOM	200	200	10	mix	FDR
DACOMP	200	200	10	mix	FDR
ZicoSeq	200	200	10	mix	FDR
limma_voom	200	200	10	mix	FDR
DESeq2	200	200	10	mix	FDR
Corncob	200	200	10	mix	FDR
MaAsLin2	200	200	10	mix	FDR
AAnew	300	200	10	mix	FDR
wilcox	300	200	10	mix	FDR
LinDA	300	200	10	mix	FDR
MetagenomeSeq	300	200	10	mix	FDR
LEfSe	300	200	10	mix	FDR
edgeR	300	200	10	mix	FDR
ALDEx2_wi	300	200	10	mix	FDR
fastANCOM	300	200	10	mix	FDR
DACOMP	300	200	10	mix	FDR
ZicoSeq	300	200	10	mix	FDR
limma_voom	300	200	10	mix	FDR
DESeq2	300	200	10	mix	FDR
Corncob	300	200	10	mix	FDR
MaAsLin2	300	200	10	mix	FDR
AAnew	500	200	10	mix	FDR
wilcox	500	200	10	mix	FDR
LinDA	500	200	10	mix	FDR
MetagenomeSeq	500	200	10	mix	FDR
LEfSe	500	200	10	mix	FDR
edgeR	500	200	10	mix	FDR
